('失敗作の灰', 0.12515759833021384)
('古代の錬金釜', 0.044328575584057395)
('妖精の錬金釜', 0.04432857558405739)
('ハニーシロップ', 0.028830376278671133)
('アトリエテント', 0.028609168262817307)
('マナフェザー', 0.024419967407659223)
('試作型栄養剤', 0.013791287455185874)
('万薬のもと', 0.013459732235728229)
('英雄降ろしの丸薬', 0.012859252518715093)
('神の落し物', 0.012392567832147223)
('生命の蜜', 0.012375329370335857)
('天界の大掃除', 0.012348717754600528)
('聡者の標', 0.012312557335605712)
('原初の種火', 0.01222498282988966)
('終末の種火', 0.01222242142853455)
('賢者の石', 0.012069530142660262)
('深紅の石', 0.011977052969820382)
('ヴェルベティス', 0.01195619912914708)
('プレーンワッフル', 0.011921539646804235)
('神秘の霊薬', 0.011848110858670194)
('達人の錬金釜', 0.008245962542209858)
('生命のバングル', 0.00810730440102153)
('同調の錬金釜', 0.008076484481172137)
('おばあちゃんの錬金釜', 0.007147839688721507)
('練習用の錬金釜', 0.007147839688721507)
('精霊織りの帳', 0.00634555343659831)
('緊急退避バッグ', 0.00634555343659831)
('妖精の道標', 0.0059562184219184525)
('魔除けの護符', 0.005938677269162203)
('勝者のお守り', 0.005806580276154418)
('エンゼルリボン', 0.005786182412665949)
('鍛錬のお守り', 0.005754130270221897)
('先見の水晶玉', 0.0057159764008967735)
('スプルース', 0.005709305746507498)
('幽世の羅針盤', 0.005542988522993187)
('封じの白本', 0.005326646133442034)
('小悪魔のいたずら', 0.005314356562854623)
('モノクログラス', 0.005228128077763722)
('白熱はちまき', 0.005085205354909215)
('そよ風のアロマ', 0.004972402374024414)
('天然酵母', 0.004971304851105002)
('グナーデリング', 0.004912991050529926)
('クラフト', 0.004743074920420307)
('万能厄除け香', 0.004729239886589594)
('旅人の靴', 0.004657512860172599)
('死霊使いの笛', 0.004506581821146493)
('ベーグルサンド', 0.004460946155840674)
('万能促進剤', 0.004376761907537329)
('魔法使いの笛', 0.004287245696088902)
('クロニクルマーク', 0.004268012896921696)
('最高級ホットミルク', 0.004186578288230557)
('リフュールボトル', 0.004165980857543161)
('心眼のモノクル', 0.004165674925739316)
('クロース', 0.004162981296823327)
('モフコット', 0.004162981296823326)
('摘み取り軍手', 0.004162981296823326)
('ドナークリスタル', 0.004113755360310027)
('友愛のペルソナ', 0.004042923412554081)
('錬金粘土', 0.0040274935644191625)
('緑を育む活性土', 0.004020326996204962)
('精密な部品', 0.004001448285643802)
('フラム', 0.003990689197537982)
('ハッスルベルト', 0.003803394277590518)
('天使のささやき', 0.0037659764794486486)
('エレメントガード', 0.003764973257263891)
('フリューゲル', 0.0037632505878361215)
('ハートペンダント', 0.003707843855396411)
('物霊のイヤリング', 0.003707843855396411)
('束ねた金糸', 0.003676824730856382)
('生きてる荷車', 0.0035852697243202946)
('山師の薬', 0.0034859008033071726)
('ヘクセ・アウリス', 0.0034848771619547646)
('クリアドロップ', 0.0034714648921341067)
('不幸の瓶詰め', 0.0034641457260747043)
('ソティー', 0.0034032777562555657)
('オリフラム', 0.0033892673534414303)
('魂盟の針', 0.0033177384659494823)
('ソフィナンシェ', 0.003294274046832735)
('マイスターミトン', 0.0032436148779909427)
('うに袋', 0.003241307425054255)
('ラーメル麦粉', 0.0032153688559211574)
('ゼッテル', 0.003183054574990309)
('ガイストアイゼン', 0.0031738630153767154)
('メルクリウスの瞳', 0.0031566537658982677)
('賢き者の土', 0.0031216079033247685)
('万物の写本', 0.0030841186910660493)
('フェアハイト', 0.0030328492734915773)
('ハルモニウム', 0.0030327704918396807)
('アンブロシアの花冠', 0.002990344040889275)
('特製バックパック', 0.0029714034753665925)
('中和剤・赤', 0.002968440085725379)
('火竜の気付け薬', 0.002968440085725379)
('時操りの砂時計', 0.0029521880267510394)
('ピロソティー', 0.0029482011292333277)
('雪花水晶', 0.002942309808467174)
('プニプニ弾', 0.0029205743998914338)
('ゴルトアイゼン', 0.0028820329102550394)
('ドナーストーン', 0.0028658275129448837)
('炎帝の粉', 0.0028611132460867866)
('インゴット', 0.0028291424499704764)
('シルヴァリア', 0.0028291424499704764)
('ルビリウム', 0.0028291424499704764)
('リフレッシュオイル', 0.002791458440434512)
('中和剤・黄', 0.0027798441813766984)
('深緑の羽飾り', 0.00276896218089592)
('アダールクロス', 0.002738816786102761)
('錬金ドロップ', 0.002710324388125716)
('シュタルレヘルン', 0.0026949082614597542)
('ミネラルエキス', 0.0026879896304547258)
('素朴な焼き菓子', 0.002653622349726326)
('アプコール', 0.002653622349726326)
('中和剤・緑', 0.002653622349726326)
('ノーブルサファイア', 0.002605392486525936)
('人形師の糸', 0.002590374940851085)
('ブリッツライト', 0.002551350685282885)
('ピュアウォーター', 0.002530495461567307)
('中和剤・青', 0.002456577642334261)
('エアリスブローチ', 0.0024348853142136)
('真理の鍵', 0.002367485006790064)
('夕闇の雫', 0.002343656780433992)
('レヘルン', 0.0023245702090459253)
('プニゼリー', 0.0023197503677863125)
('シュタルメタル', 0.002275113547465137)
('日輪の雫', 0.0020753383154560345)
('精霊の涙', 0.0019121834822203962)
('ハチミツ', 0.001866909669121783)
('魔法の草', 0.0012657582059147619)
('コバルト草', 0.0012657582059147619)
('妖精の毒草', 0.0012657582059147619)
('ミスティックハーブ', 0.0012657582059147619)
('夕焼け草', 0.0012657582059147619)
('五日ヅル', 0.0012657582059147619)
('峰綿花', 0.0012657582059147619)
('苔むした流木', 0.0012657582059147619)
('キーファ', 0.0012657582059147619)
('アルタル', 0.0012657582059147619)
('紅草', 0.0012657582059147619)
('シロヒメクサ', 0.0012657582059147619)
('常世の仙花', 0.0012657582059147619)
('ドンケルハイト', 0.0012657582059147619)
('ドンケルシュテルン', 0.0012657582059147619)
('アイゼン鉱', 0.0012657582059147619)
('ライデン鉱', 0.0012657582059147619)
('クプルフ鉱', 0.0012657582059147619)
('カーエン石', 0.0012657582059147619)
('ハクレイ石', 0.0012657582059147619)
('ソウルストン', 0.0012657582059147619)
('黒の燃球', 0.0012657582059147619)
('妖精の土だんご', 0.0012657582059147619)
('湖底の土', 0.0012657582059147619)
('海底の土', 0.0012657582059147619)
